date,city,price,br,lsqft,bsqft
2006-07-30,Berkeley,900000.0,5.0,5450.0,1733.0
2006-10-15,Berkeley,620000.0,2.0,4000.0,1524.0
2006-08-20,Berkeley,795000.0,2.0,5000.0,1650.0
2006-03-05,Berkeley,1014000.0,3.0,5253.0,2067.0
2006-12-03,Berkeley,410000.0,3.0,4000.0,1310.0
2006-07-30,Berkeley,625000.0,2.0,5000.0,1280.0
2006-06-25,Berkeley,1106000.0,4.0,5000.0,2214.0
2006-12-24,Berkeley,900000.0,3.0,5000.0,1332.0
2006-10-29,Berkeley,1158000.0,5.0,5000.0,2510.0
2006-10-01,Berkeley,850000.0,3.0,6320.0,1588.0
2006-05-07,Berkeley,711000.0,2.0,4611.0,1243.0
2006-04-30,Berkeley,1285000.0,4.0,6600.0,2588.0
2006-09-17,Berkeley,1300000.0,3.0,6500.0,1534.0
2006-11-19,Berkeley,865000.0,3.0,7150.0,1842.0
2006-03-05,Berkeley,864000.0,3.0,7150.0,1853.0
2006-12-24,Berkeley,789000.0,3.0,6250.0,2238.0
2006-01-22,Berkeley,835000.0,3.0,4905.0,1990.0
2006-06-25,Berkeley,1060000.0,3.0,4950.0,2256.0
2006-12-24,Berkeley,800000.0,2.0,3680.0,2137.0
